Script,TP,SL,PnL,ROI,Profit Factor,Win Rate
8x_MA,5,5,,,,
Almost Zero Lag EMA Strategy,5,5,,,,
8x_MA,5,5,,,,
Almost Zero Lag EMA Strategy,5,5,,,,
8x_MA,5,5,,,,
8x_MA,5,5,,,,
8x_MA,5,5,,,,
8x_MA,5,5,,,,
8x_MA,5,5,,,,
8x_MA,5,5,,,,
8x_MA,5,5,,,,
8x_MA,5,5,,,,
8x_MA,5,5,,,,
8x_MA,5,5,,,,
8x_MA,5,5,,,,
Almost Zero Lag EMA Strategy,5,5,,,,
BB-KC Squeeze Strategy,5,5,,,,
BOP Strategy,5,5,,,,
Bears-Bulls Strategy,5,5,,,,
8x_MA,5,5,,,,
Almost Zero Lag EMA Strategy,5,5,,,,
BB-KC Squeeze Strategy,5,5,,,,
